J.D.,Martinez,DH,213,0,0.319,0.387,0.563
Adam,Frazier,2B,233,3,0.33,0.391,0.472
Rafael,Devers,3B,218,3,0.271,0.34,0.56
Cedric,Mullins,CF,231,9,0.325,0.394,0.541
Nick,Castellanos,RF,213,1,0.357,0.412,0.624
Marcus,Semien,2B,233,8,0.292,0.362,0.524
Carlos,Correa,SS,219,0,0.288,0.372,0.502
Jared,Walsh,1B,209,2,0.297,0.362,0.555
Ronald,Acuna,RF,198,11,0.288,0.395,0.621
Aaron,Judge,RF,204,0,0.289,0.394,0.529
Max,Muncy,1B,187,1,0.267,0.422,0.524
Bryan,Reynolds,CF,206,0,0.286,0.388,0.5
Jose,Ramirez,3B,207,6,0.271,0.353,0.546
Chris,Taylor,CF,186,6,0.274,0.392,0.478
Vladimir,Guerrero Jr.,1B,206,1,0.335,0.441,0.66
Xander,Bogaerts,SS,218,4,0.321,0.38,0.532
Yuli,Gurriel,1B,201,1,0.333,0.406,0.532
Shohei,Ohtani,DH,203,9,0.261,0.346,0.606
Austin,Riley,3B,192,0,0.313,0.395,0.536
Matt,Olson,1B,202,0,0.272,0.364,0.564
Jesse,Winker,LF,205,0,0.346,0.407,0.654
Austin,Meadows,LF,214,2,0.243,0.347,0.523
Mark,Canha,LF,222,7,0.257,0.383,0.477
Brandon,Crawford,SS,171,3,0.263,0.355,0.561
Kris,Bryant,LF,212,3,0.307,0.383,0.575
Alex,Verdugo,LF,209,4,0.292,0.351,0.469
Ozzie,Albies,2B,214,5,0.252,0.328,0.495
Ramon,Laureano,CF,183,8,0.257,0.332,0.503
Justin,Turner,3B,207,0,0.266,0.361,0.444
Yordan,Alvarez,DH,183,0,0.295,0.342,0.508
Mitch,Haniger,RF,235,0,0.255,0.302,0.506
Trey,Mancini,1B,221,0,0.276,0.348,0.484
Mark,Canha,LF,223,7,0.256,0.381,0.475
Justin,Upton,LF,180,2,0.228,0.312,0.5
Alex,Bregman,3B,203,0,0.286,0.375,0.433
Tyler,Naquin,CF,170,4,0.259,0.333,0.506
Trea,Turner,SS,231,13,0.312,0.356,0.489
Jesus,Aguilar,1B,204,0,0.27,0.323,0.495
Salvador,Perez,C,230,0,0.278,0.307,0.509
Adolis,Garcia,CF,203,7,0.276,0.312,0.542
Pete,Alonso,1B,157,0,0.255,0.343,0.471
Randal,Grichuk,CF,220,0,0.277,0.31,0.505
Rhys,Hoskins,1B,222,2,0.257,0.325,0.482
Jose,Abreu,1B,198,1,0.253,0.338,0.465
Mookie,Betts,RF,199,5,0.256,0.369,0.442
Jose,Altuve,2B,202,2,0.297,0.368,0.46
Juan,Soto,RF,161,1,0.28,0.409,0.447
Nolan,Arenado,3B,234,0,0.282,0.328,0.513
Yoan,Moncada,3B,202,1,0.292,0.419,0.426
Joey,Wendle,3B,182,4,0.28,0.343,0.478
