Anthony,DeSclafani,3.51,12,12,66.2,20
Aaron,Nola,4.06,13,13,75.1,17
Robbie,Ray,3.36,11,11,64.1,14
Jordan,Montgomery,3.99,12,12,65.1,15
Chris,Bassitt,3.44,13,13,81,18
Casey,Mize,3.34,11,11,64.2,20
Matthew,Boyd,3.56,12,12,68.1,19
Clayton,Kershaw,3.66,13,13,76.1,14
Nick,Pivetta,3.78,12,12,64.1,31
Zack,Greinke,3.38,13,13,82.2,16
Jose,Berríos,3.58,12,12,70.1,19
Garrett,Richards,3.88,12,12,65,32
Cole,Irvin,3.89,12,12,69.1,12
JT,Brubaker,3.9,11,11,60,13
Lucas,Giolito,3.88,12,12,69.2,24
Ryan,Yarbrough,3.95,12,8,66,12
Julio,Urias,3.48,12,12,72.1,11
Zach,Eflin,4.1,11,11,68,8
Dylan,Cease,3.36,12,12,61.2,28
Yusei,Kikuchi,4.05,11,11,66.2,20
Austin,Gomber,4.12,12,12,63.1,23
Ian,Anderson,3.64,11,11,59.1,25
German,Marquez,3.91,13,13,71.1,34
Nathan,Eovaldi,3.78,12,12,66.2,14
Aaron,Civale,3.49,12,12,80,18
Brandon,Woodruff,1.42,12,12,76,17
Trevor,Rogers,1.97,12,12,68.2,24
Pablo,Lopez,2.76,13,13,75,19
Joe,Musgrove,2.33,12,11,65.2,13
Jacob,deGrom,0.62,9,9,58,8
Max,Scherzer,2.22,12,12,77,15
Trevor,Bauer,2.4,13,13,82.1,27
Taijuan,Walker,2.17,10,10,54,23
John,Means,2.28,12,12,71,13
Kevin,Gausman,1.27,12,12,77.2,16
Sean,Manaea,3.09,13,13,75.2,18
Gerrit,Cole,2.26,12,12,75.2,11
Tyler,Glasnow,2.57,13,13,84,26
Walker,Buehler,2.56,12,12,77.1,14
Marcus,Stroman,2.41,12,12,71,17
Freddy,Peralta,2.25,12,11,64,27
Kyle,Gibson,2.13,12,12,71.2,21
Tyler,Mahle,3.32,12,12,62.1,20
Sandy,Alcantara,3.3,13,13,79,22
Jack,Flaherty,2.9,11,11,62,20
Yu,Darvish,2.22,13,13,77,17
Shane,Bieber,2.96,13,13,85,31
Rich,Hill,3.05,12,12,62,20
Zack,Wheeler,2.51,12,12,82.1,18
Hyun Jin,Ryu,3.23,11,11,64,11
